OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length
602,28552,,,131,Lowland,Population <500 and Cases <5,,211084218.553589,104037.967496467
603,28553,5.0,0.0,522,Marshallberg,,95.7854406130268,44093630.395752,64625.7950525978
604,28555,61.0,0.0,4702,Maysville,,129.732028923862,3623337430.05573,600372.548840717
605,28556,11.0,0.0,1150,Merritt,,95.6521739130435,1139666751.30212,394317.853497314
606,28557,229.0,0.0,15254,Morehead City,,150.124557493117,400526127.961975,291647.007459014
607,28560,690.0,28.0,28926,New Bern,,238.539722049367,3309199654.78784,1030041.14449326
608,28561,6.0,0.0,0,New Bern,,,195198.709350586,2618.49962886206
609,28562,765.0,16.0,38009,New Bern,,201.268120708253,3853792240.20764,1071472.47820273
610,28570,360.0,1.0,22687,Newport,,158.681183056376,4050945831.7467,612371.091717979
611,28571,27.0,0.0,3137,Oriental,,86.0694931463182,1482289449.53186,353024.47769856
612,28572,176.0,3.0,6379,Pink Hill,,275.905314312588,3042675125.74115,395176.694907307
613,28573,73.0,12.0,2475,Pollocksville,,294.949494949495,3035889883.2348,360117.83631843
614,28574,284.0,4.0,17702,Richlands,,160.433849282567,3868294357.7301,523654.71280993
